,noise_position_moving,noise_collision_direction,noise_collision_elasticity,epsilon,rmse,r
207,7.0,0.0,0.1,0.15000000000000002,0.08935234522700165,0.9740217767698124
208,7.0,0.1,0.1,0.15000000000000002,0.08546803432042138,0.9761304634087667
209,7.0,0.2,0.1,0.15000000000000002,0.09047908457098705,0.974513108824154
210,7.0,0.30000000000000004,0.1,0.15000000000000002,0.09264304790260212,0.9729613937406134
211,7.0,0.4,0.1,0.15000000000000002,0.08727061715384081,0.9752263596442695
212,7.0,0.5,0.1,0.15000000000000002,0.0941499683602396,0.9739169686570757
213,7.0,0.6000000000000001,0.1,0.15000000000000002,0.09441223023942362,0.9734382652883451
214,7.0,0.7000000000000001,0.1,0.2,0.08458521838099407,0.9748037758731415
215,7.0,0.8,0.1,0.15000000000000002,0.08919026961110835,0.9750233063712768
216,8.0,0.0,0.1,0.2,0.08469747461802522,0.975466382264161
217,8.0,0.1,0.1,0.2,0.0851182173722568,0.9753313726715872
218,8.0,0.2,0.1,0.2,0.08684892916973676,0.9730403373459121
219,8.0,0.30000000000000004,0.1,0.15000000000000002,0.08949255187715544,0.972773107370397
220,8.0,0.4,0.1,0.15000000000000002,0.08897920067429957,0.9759478681801484
221,8.0,0.5,0.1,0.15000000000000002,0.08315617119923142,0.979333575560363
222,8.0,0.6000000000000001,0.1,0.2,0.08328879367228138,0.9758558139614599
223,8.0,0.7000000000000001,0.1,0.25,0.10102677436998855,0.9637763044354021
224,8.0,0.8,0.1,0.2,0.08950487670061537,0.971695162796116
225,9.0,0.0,0.1,0.15000000000000002,0.09355712383383319,0.9727285606932993
226,9.0,0.1,0.1,0.2,0.08561349636760526,0.9747315835950859
227,9.0,0.2,0.1,0.2,0.08498126954933757,0.9750605608600481
228,9.0,0.30000000000000004,0.1,0.25,0.0994113104981743,0.9651769187450966
229,9.0,0.4,0.1,0.15000000000000002,0.08645093879729678,0.975948617858556
230,9.0,0.5,0.1,0.15000000000000002,0.09463435516955877,0.9727813999377962
231,9.0,0.6000000000000001,0.1,0.2,0.0902596864915226,0.9713064067939425
